id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
738KP	BJ6NR	Mecas confusa	species	false	Mecas confusa	Q14746648	https://en.wikipedia.org/wiki/Mecas_confusa	1032
738KS	5MBF	Meandrusa payeni	species	false	Meandrusa payeni	Q6803687	https://en.wikipedia.org/wiki/Meandrusa_payeni	1046
738M4	5MCL	Mecistocephalus apator	species	false	Mecistocephalus apator	Q6507485	https://en.wikipedia.org/wiki/Mecistocephalus_apator	1042
738MY	8KXP7	Mecodema haunoho	species	false	Mecodema haunoho	Q13820895	https://en.wikipedia.org/wiki/Mecodema_haunoho	1146
738N9	8KXP7	Mecodema puiakium	species	false	Mecodema puiakium	Q6804842	https://en.wikipedia.org/wiki/Mecodema_puiakium	1146
738NK	5MCL	Mecistocephalus waipaheenas	species	false	Mecistocephalus waipaheenas	Q6508293	https://en.wikipedia.org/wiki/Mecistocephalus_waipaheenas	1042
738NQ	5MCL	Mecistocephalus smithii	species	false	Mecistocephalus smithii	Q6508059	https://en.wikipedia.org/wiki/Mecistocephalus_smithii	1042
738PL	5MDY	Mecomma gilvipes	species	false	Mecomma gilvipes	Q10578964	https://en.wikipedia.org/wiki/Mecomma_gilvipes	1171
738ZC	BJBXG	Melanopolia catori	species	false	Melanopolia catori	Q15862651	https://en.wikipedia.org/wiki/Melanopolia_catori	1032
738ZF	8NRW5	Melanoplus yarrowii	species	false	Melanoplus yarrowii	Q10580772	https://en.wikipedia.org/wiki/Melanoplus_yarrowii	1021
738ZN	8NRW5	Melanoplus tuberculatus	species	false	Melanoplus tuberculatus	Q10580758	https://en.wikipedia.org/wiki/Melanoplus_tuberculatus	1021
738ZS	8NRW5	Melanoplus tequestae	species	false	Melanoplus tequestae	Q10580747	https://en.wikipedia.org/wiki/Melanoplus_tequestae	1021
738ZX	8NRW5	Melanoplus stegocercus	species	false	Melanoplus stegocercus	Q10580739	https://en.wikipedia.org/wiki/Melanoplus_stegocercus	1021
739	442	Barentsiidae	family	false				2144
7394K	7P8NG	Melanopsis costata	species	false	Melanopsis costata	Q13831899	https://en.wikipedia.org/wiki/Melanopsis_costata	1130
7397Q	8NV5S	Melaphis rhois	species	false	Melaphis rhois	Q10580975	https://en.wikipedia.org/wiki/Melaphis_rhois	1061
739B9	BJBXG	Melanopolia ruficornis	species	false	Melanopolia ruficornis	Q14827445	https://en.wikipedia.org/wiki/Melanopolia_ruficornis	1032
739BB	BJBXG	Melanopolia longiscapa	species	false	Melanopolia longiscapa	Q14827449	https://en.wikipedia.org/wiki/Melanopolia_longiscapa	1032
739DW	5NDF	Melanerpes erythrocephalus	species	false	Red-headed Woodpecker	Q578174	https://en.wikipedia.org/wiki/Red-headed_woodpecker	2144
739H	624LX	Pseudopsallus	genus					1171
